Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,commit_hash,Bugs
Anonymous Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerView.onTouchEvent.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,1,6,0,5,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.utilities_fs.StringMatcher,7.0,7.0,9.0,6.0,19.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,23,2,18,3,15,3,,,,9,15,3,12,,,,,,7.0,7.0,9.0,6.0,,1.0,2,,0.0,0.0,0.17,7,7,9,6,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Public Class,in.myinnos.indexfastscrollrecycler.MainActivity,2.0,2.0,2.0,1.0,16.0,2.0,13.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,,60,11,47,12,33,2,,,,35,42,11,31,,,,,,4.0,4.0,5.0,3.0,,2.0,2,,55.0,22.0,0.04,6,6,7,5,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Public Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,7.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,,74,10,61,27,26,3,,,,25,39,19,20,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,57.0,57.0,0.05,10,10,10,7,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Static Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter.ViewHolder,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,11,1,10,6,2,0,,,,4,6,4,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,100.0,100.0,0.0,1,1,1,1,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Anonymous Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter.onBindViewHolder.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Public Class,in.myinnos.indexfastscrollrecycler.helper.DataHelper,1.0,1.0,1.0,1.0,160.0,26.0,134.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,165,27,135,2,132,3,,,,131,133,2,131,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.02,1,1,1,1,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Anonymous Class,in.myinnos.indexfastscrollrecycler.helper.DataHelper.getAlphabetData.(Anon_1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,156,25,131,0,131,0,,,,130,130,0,130,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Public Class,in.myinnos.indexfastscrollrecycler.utility.AlphabetItem,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,2,9,5,3,3,,,,6,8,5,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.33,1,1,1,1,5f4ba0a5fec1f04b5940eef9d6d0bb12eec0c201,0
Public Class,in.myinnos.indexfastscrollrecycler.MainActivity,2.0,2.0,2.0,1.0,19.0,3.0,13.0,2.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,,69,15,47,11,33,7,,,,35,42,11,31,,,,,,4.0,4.0,5.0,3.0,,2.0,2,,44.0,22.0,0.15,6,6,7,5,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,1
Public Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter,1.0,1.0,1.0,1.0,8.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,7.0,4.0,7.0,7.0,0.0,0.0,0.0,7.0,,99,17,67,28,33,15,,,,33,48,23,25,,,,,,4.0,4.0,4.0,1.0,,2.0,2,,67.0,67.0,0.22,11,11,11,7,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,1
Public Class,in.myinnos.indexfastscrollrecycler.helper.NotFullDataHelper,1.0,1.0,1.0,1.0,35.0,6.0,29.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,37,6,31,2,27,0,,,,26,28,2,26,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.0,1,1,1,1,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,1
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerSection,1.0,1.0,1.0,1.0,10.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,29.0,33.0,29.0,29.0,0.0,4.0,0.0,25.0,,381,54,266,83,162,61,,,,148,198,78,120,,,,,,8.0,7.0,11.0,6.0,,2.0,5,,91.0,90.0,0.23,50,48,57,37,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Anonymous Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerSection.fade.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerView,1.0,1.0,1.0,1.0,7.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,32.0,16.0,32.0,32.0,0.0,1.0,1.0,30.0,,321,56,194,65,105,71,,,,82,134,56,78,,,,,,11.0,11.0,11.0,3.0,,2.0,4,,91.0,85.0,0.37,49,49,52,34,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Anonymous Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerView.onTouchEvent.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,1,6,0,5,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.utilities_fs.StringMatcher,7.0,7.0,9.0,6.0,19.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,23,2,18,3,15,3,,,,9,15,3,12,,,,,,7.0,7.0,9.0,6.0,,1.0,2,,0.0,0.0,0.17,7,7,9,6,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Static Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter.ViewHolder,1.0,1.0,1.0,1.0,6.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,13,1,9,4,3,3,,,,5,7,4,3,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.33,1,1,1,1,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Anonymous Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter.onBindViewHolder.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Public Class,in.myinnos.indexfastscrollrecycler.helper.DataHelper,1.0,1.0,1.0,1.0,160.0,26.0,134.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,165,27,135,2,132,3,,,,131,133,2,131,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.02,1,1,1,1,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Anonymous Class,in.myinnos.indexfastscrollrecycler.helper.DataHelper.getAlphabetData.(Anon_1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,156,25,131,0,131,0,,,,130,130,0,130,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Anonymous Class,in.myinnos.indexfastscrollrecycler.helper.NotFullDataHelper.getAlphabetNotFullData.(Anon_1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,31,5,26,0,26,0,,,,25,25,0,25,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Public Class,in.myinnos.indexfastscrollrecycler.utility.AlphabetItem,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,2,9,5,3,3,,,,6,8,5,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.33,1,1,1,1,ba70fdada1fdd2ec2b0705449f0c6ed62609f68a,0
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerSection,1.0,1.0,1.0,1.0,10.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,29.0,33.0,29.0,29.0,0.0,4.0,0.0,25.0,,381,54,266,83,162,61,,,,148,198,78,120,,,,,,8.0,7.0,11.0,6.0,,2.0,5,,91.0,90.0,0.23,50,48,57,37,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Anonymous Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerSection.fade.(Anon_1),1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,5,0,5,0,4,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerView,1.0,1.0,1.0,1.0,7.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,32.0,16.0,32.0,32.0,0.0,1.0,1.0,30.0,,321,56,194,65,105,71,,,,82,134,56,78,,,,,,11.0,11.0,11.0,3.0,,2.0,4,,91.0,85.0,0.37,49,49,52,34,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Anonymous Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerView.onTouchEvent.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,7,1,6,0,5,0,,,,1,2,1,1,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.utilities_fs.StringMatcher,7.0,7.0,9.0,6.0,19.0,2.0,17.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,23,2,18,3,15,3,,,,9,15,3,12,,,,,,7.0,7.0,9.0,6.0,,1.0,2,,0.0,0.0,0.17,7,7,9,6,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Public Class,in.myinnos.indexfastscrollrecycler.MainActivity,2.0,2.0,2.0,1.0,16.0,2.0,13.0,0.0,1.0,4.0,4.0,0.0,,0.0,0.0,,,,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,,61,11,48,12,33,2,,,,35,42,11,31,,,,,,4.0,4.0,5.0,3.0,,2.0,2,,55.0,22.0,0.04,6,6,7,5,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Public Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,2.0,1.0,1.0,0.0,,0.0,0.0,,,,7.0,2.0,7.0,7.0,0.0,0.0,0.0,7.0,,74,10,61,27,26,3,,,,25,39,19,20,,,,,,3.0,3.0,3.0,1.0,,2.0,2,,57.0,57.0,0.05,10,10,10,7,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Static Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter.ViewHolder,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,,11,1,10,6,2,0,,,,4,6,4,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,100.0,100.0,0.0,1,1,1,1,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Anonymous Class,in.myinnos.indexfastscrollrecycler.adapter.RecyclerViewAdapter.onBindViewHolder.(Anon_1),1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,6,0,6,0,5,0,,,,2,3,1,2,,,,,,1.0,1.0,1.0,1.0,,2.0,0,,0.0,0.0,0.0,1,1,1,1,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Public Class,in.myinnos.indexfastscrollrecycler.helper.DataHelper,1.0,1.0,1.0,1.0,160.0,26.0,134.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,,165,27,135,2,132,3,,,,131,133,2,131,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.02,1,1,1,1,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Anonymous Class,in.myinnos.indexfastscrollrecycler.helper.DataHelper.getAlphabetData.(Anon_1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,156,25,131,0,131,0,,,,130,130,0,130,,,,,,0.0,0.0,0.0,0.0,,2.0,0,,0.0,0.0,0.0,0,0,0,0,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Public Class,in.myinnos.indexfastscrollrecycler.utility.AlphabetItem,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,,14,2,9,5,3,3,,,,6,8,5,3,,,,,,1.0,1.0,1.0,1.0,,1.0,0,,0.0,0.0,0.33,1,1,1,1,cc9ce933e0cf8bb120b6c46ec437362563f80711,0
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerSection,1.0,1.0,1.0,1.0,10.0,0.0,7.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,29.0,33.0,29.0,29.0,0.0,4.0,0.0,25.0,,381,54,266,83,162,61,,,,148,198,78,120,,,,,,8.0,7.0,11.0,6.0,,2.0,5,,91.0,90.0,0.23,50,48,57,37,067e8e1798349e77f854b30ae0a56841a0c930c9,1
Public Class,in.myinnos.alphabetsindexfastscrollrecycler.IndexFastScrollRecyclerView,1.0,1.0,1.0,1.0,7.0,0.0,5.0,2.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,32.0,16.0,32.0,32.0,0.0,1.0,1.0,30.0,,321,56,194,65,105,71,,,,82,134,56,78,,,,,,11.0,11.0,11.0,3.0,,2.0,4,,91.0,85.0,0.37,49,49,52,34,067e8e1798349e77f854b30ae0a56841a0c930c9,1
